zip_code,dma_code,dma_name,city,state,state_name,geo_key_zip,geo_key_city,geo_key_dma,geo_key_state
52588,631,OTTUMWA-KIRKSVILLE,ELDON,IA,Iowa,52588,"ELDON, IA",OTTUMWA-KIRKSVILLE,IA
52590,679,DES MOINES-AMES,SEYMOUR,IA,Iowa,52590,"SEYMOUR, IA",DES MOINES-AMES,IA
52591,637,CEDAR RAPIDS-WTRLO-IWC &DUB,SIGOURNEY,IA,Iowa,52591,"SIGOURNEY, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52593,679,DES MOINES-AMES,CENTERVILLE,IA,Iowa,52593,"CENTERVILLE, IA",DES MOINES-AMES,IA
52594,679,DES MOINES-AMES,MORAVIA,IA,Iowa,52594,"MORAVIA, IA",DES MOINES-AMES,IA
52595,679,DES MOINES-AMES,UNIVERSITY PARK,IA,Iowa,52595,"UNIVERSITY PARK, IA",DES MOINES-AMES,IA
52601,682,DAVENPORT-R.ISLAND-MOLINE,BURLINGTON,IA,Iowa,52601,"BURLINGTON, IA",DAVENPORT-R.ISLAND-MOLINE,IA
52619,717,QUINCY-HANNIBAL-KEOKUK,ARGYLE,IA,Iowa,52619,"ARGYLE, IA",QUINCY-HANNIBAL-KEOKUK,IA
62858,609,ST. LOUIS,LOUISVILLE,IL,Illinois,62858,"LOUISVILLE, IL",ST. LOUIS,IL
62859,632,PADUCAH-CAPE GIRARD-HARSBG,MC LEANSBORO,IL,Illinois,62859,"MC LEANSBORO, IL",PADUCAH-CAPE GIRARD-HARSBG,IL
62860,632,PADUCAH-CAPE GIRARD-HARSBG,MACEDONIA,IL,Illinois,62860,"MACEDONIA, IL",PADUCAH-CAPE GIRARD-HARSBG,IL
62861,649,EVANSVILLE,MAUNIE,IL,Illinois,62861,"MAUNIE, IL",EVANSVILLE,IL
62862,649,EVANSVILLE,MILL SHOALS,IL,Illinois,62862,"MILL SHOALS, IL",EVANSVILLE,IL
62863,649,EVANSVILLE,MOUNT CARMEL,IL,Illinois,62863,"MOUNT CARMEL, IL",EVANSVILLE,IL
